Timestamp,Type,X,Y,Z
1767308081761,ACC,1.9871874,-2.1499932,9.385271
1767308081800,ACC,2.054225,-2.1284454,9.368511
1767308081842,ACC,2.030283,-2.0925324,9.428367
1767308081881,ACC,2.0566192,-2.1739352,9.3421755
1767308081921,ACC,2.0207062,-2.1021092,9.332599
1767308081926,HR,45.0,0.0,0.0
1767308081961,ACC,2.0135236,-2.171541,9.423578
1767308082002,ACC,2.030283,-2.1212628,9.332599
1767308082042,ACC,2.0829554,-2.1667526,9.346964
1767308082083,ACC,2.0159178,-2.1547816,9.31105
1767308082123,ACC,2.0494366,-2.1691468,9.392453
1767308082163,ACC,2.0398598,-2.195483,9.330204
1767308082203,ACC,2.0326772,-2.1643584,9.3421755
1767308082243,ACC,2.0159178,-2.2242134,9.385271
1767308082283,ACC,2.0039468,-2.1763294,9.351752
1767308082331,ACC,2.0350714,-2.1045034,9.296685
1767308082363,ACC,2.0135236,-2.2170308,9.390059
1767308082404,ACC,2.0853498,-2.1164744,9.385271
1767308082444,ACC,2.0207062,-2.1811178,9.339781
1767308082483,ACC,2.0159178,-2.183512,9.275137
1767308082524,ACC,2.0949266,-2.2122424,9.320627
1767308082564,ACC,2.0638018,-2.1571758,9.370906
1767308082604,ACC,1.9656396,-2.1452048,9.313444
1767308082645,ACC,2.0278888,-2.2170308,9.3661175
1767308082685,ACC,2.1068976,-2.1452048,9.356541
1767308082725,ACC,2.054225,-2.1188686,9.3421755
1767308082765,ACC,2.0614076,-2.147599,9.3733
1767308082806,ACC,2.0590134,-2.171541,9.416395
1767308082846,ACC,2.0231004,-2.1452048,9.378088
1767308082885,ACC,2.018312,-2.2146366,9.368511
1767308082926,ACC,2.0709844,-2.207454,9.332599
1767308082930,HR,45.0,0.0,0.0
1767308082966,ACC,2.0709844,-2.1404164,9.380483
1767308083006,ACC,2.0757728,-2.1739352,9.3661175
1767308083046,ACC,2.0566192,-2.1260512,9.349358
1767308083087,ACC,1.9847932,-2.1739352,9.368511
1767308083127,ACC,2.1092918,-2.1164744,9.385271
1767308083167,ACC,2.0494366,-2.1452048,9.375694
1767308083207,ACC,2.0614076,-2.1739352,9.378088
1767308083247,ACC,1.9919758,-2.1691468,9.275137
1767308083287,ACC,2.054225,-2.147599,9.3421755
1767308083327,ACC,2.0159178,-2.0925324,9.397242
1767308083367,ACC,2.078167,-2.1452048,9.356541
1767308083407,ACC,1.9536686,-2.2026656,9.337387
1767308083448,ACC,2.0566192,-2.123657,9.390059
1767308083488,ACC,2.0805612,-2.1930888,9.301474
1767308083528,ACC,2.0111294,-2.1404164,9.358934
1767308083568,ACC,2.0494366,-2.1140802,9.31105
1767308083609,ACC,2.0159178,-2.1930888,9.3661175
1767308083649,ACC,2.0494366,-2.2361844,9.40203
1767308083689,ACC,2.1045034,-2.207454,9.358934
1767308083729,ACC,1.99437,-2.1571758,9.3661175
1767308083769,ACC,2.0805612,-2.1667526,9.3182335
1767308083809,ACC,2.0494366,-2.1906946,9.356541
1767308083851,ACC,2.0398598,-2.1787236,9.3661175
1767308083889,ACC,2.0518308,-2.1332338,9.3421755
1767308083929,ACC,2.0614076,-2.1978772,9.411607
1767308083934,HR,45.0,0.0,0.0
1767308083969,ACC,2.006341,-2.1260512,9.358934
1767308084010,ACC,2.0015526,-2.1092918,9.287108
1767308084050,ACC,2.078167,-2.2026656,9.452309
1767308084091,ACC,1.9536686,-2.1045034,9.3661175
1767308084131,ACC,2.0470424,-2.1212628,9.351752
1767308084171,ACC,2.0829554,-2.1332338,9.411607
1767308084211,ACC,2.0326772,-2.207454,9.332599
1767308084251,ACC,1.9847932,-2.1092918,9.392453
1767308084291,ACC,2.0087352,-2.231396,9.346964
1767308084331,ACC,2.0494366,-2.123657,9.339781
1767308084372,ACC,2.0446482,-2.0829554,9.416395
1767308084411,ACC,2.030283,-2.15957,9.390059
1767308084452,ACC,2.0374656,-2.1643584,9.334992
1767308084491,ACC,2.0374656,-2.0925324,9.313444
1767308084533,ACC,1.9512744,-2.183512,9.320627
1767308084573,ACC,1.9967642,-2.1164744,9.437943
1767308084613,ACC,2.0254946,-2.195483,9.358934
1767308084654,ACC,2.0111294,-2.0757728,9.332599
1767308084693,ACC,2.0087352,-2.207454,9.356541
1767308084733,ACC,2.0590134,-2.2218192,9.358934
1767308084773,ACC,2.042254,-2.15957,9.368511
1767308084813,ACC,1.982399,-2.1404164,9.358934
1767308084854,ACC,2.0111294,-2.183512,9.351752
1767308084894,ACC,2.0709844,-2.1571758,9.368511
1767308084934,ACC,2.0135236,-2.2026656,9.397242
1767308084939,HR,45.0,0.0,0.0
1767308084975,ACC,2.0805612,-2.1452048,9.32781
1767308085014,ACC,2.0278888,-2.1619642,9.406818
1767308085054,ACC,2.066196,-2.1787236,9.363723
1767308085095,ACC,2.0231004,-2.1691468,9.380483
1767308085135,ACC,1.9871874,-2.1978772,9.344569
1767308085174,ACC,2.0566192,-2.1547816,9.289502
1767308085215,ACC,2.0398598,-2.1428106,9.3421755
1767308085256,ACC,2.1140802,-2.1164744,9.337387
1767308085295,ACC,2.0087352,-2.0973208,9.397242
1767308085335,ACC,2.0326772,-2.1428106,9.399636
1767308085376,ACC,2.0757728,-2.1547816,9.421184
1767308085416,ACC,2.018312,-2.0901382,9.421184
1767308085456,ACC,2.0231004,-2.123657,9.370906
1767308085497,ACC,2.0159178,-2.1188686,9.428367
1767308085537,ACC,2.0159178,-2.0709844,9.308656
